#,A,10,9,8,7,6,5,4,3,2
BJ,-53.99%,1.20%,22.78%,35.07%,46.29%,66.74%,61.47%,56.60%,51.78%,47.06%
H21,-200.00%,-200.00%,-200.00%,-200.00%,-200.00%,-200.00%,-200.00%,-200.00%,-200.00%,-200.00%
H20,-179.53%,-172.13%,-170.17%,-170.30%,-170.37%,-170.73%,-170.90%,-170.94%,-171.00%,-171.05%
H19,-161.89%,-150.05%,-143.11%,-142.73%,-143.09%,-144.51%,-145.20%,-145.39%,-145.61%,-145.82%
H18,-148.29%,-134.95%,-123.31%,-118.21%,-118.23%,-121.50%,-123.05%,-123.49%,-124.00%,-124.49%
H17,-138.70%,-123.29%,-110.74%,-101.20%,-96.70%,-101.75%,-104.60%,-105.40%,-106.33%,-107.23%
H16,-133.14%,-115.04%,-101.86%,-91.69%,-82.96%,-86.19%,-89.90%,-91.26%,-92.75%,-94.20%
H15,-129.60%,-108.52%,-94.84%,-84.16%,-74.88%,-73.17%,-77.09%,-79.12%,-81.25%,-83.32%
H14,-126.05%,-101.99%,-87.81%,-76.63%,-66.81%,-60.15%,-64.28%,-66.98%,-69.75%,-72.44%
H13,-122.50%,-95.47%,-80.78%,-69.10%,-58.74%,-47.13%,-51.47%,-54.84%,-58.24%,-61.56%
H12,-118.95%,-88.94%,-73.75%,-61.57%,-50.67%,-34.11%,-38.65%,-42.71%,-46.74%,-50.68%
H11,-53.99%,1.20%,22.78%,35.07%,46.29%,66.74%,61.47%,56.60%,51.78%,47.06%
H10,-62.51%,-16.18%,14.43%,28.66%,39.24%,57.56%,51.25%,46.09%,40.93%,35.89%
H9,-91.51%,-58.47%,-30.10%,-2.64%,10.43%,31.71%,24.31%,18.19%,12.08%,6.11%
H8,-117.67%,-84.30%,-71.85%,-45.20%,-18.77%,8.70%,0.35%,-6.64%,-13.62%,-20.45%
H7,-139.80%,-103.16%,-95.71%,-84.71%,-58.93%,-13.83%,-20.27%,-28.23%,-35.98%,-43.58%
H6,-151.87%,-113.44%,-106.78%,-100.13%,-89.40%,-28.19%,-31.56%,-40.21%,-48.37%,-56.41%
H5,-153.89%,-115.16%,-108.63%,-102.10%,-95.08%,-30.74%,-33.44%,-42.21%,-50.45%,-58.56%
H4,-153.89%,-115.16%,-108.63%,-102.10%,-95.08%,-30.74%,-33.44%,-42.21%,-50.45%,-58.56%
